# company_name, crawler_url
'株式会社メディアハウスホールディングス', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46816446/'
'株式会社アイビーエフ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_14/46588286/'
'株式会社 杉本', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_11/46783408/'
'株式会社ソーレ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46686823/'
'ピアスグループ（統括会社：ピアス株式会社）', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_12/46818107/'
'クロリス', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46785450/'
'Ｌouvre', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_10/46160915/'
'株式会社デュエット', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_13/46808254/'
'株式会社東京美容研究所', 'https://toranet.jp/salon_p/jb_1903/ped_01/la_12/46780218/'
'株式会社アヴァンティ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46731624/'
'株式会社Lamp', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_13/46783739/'
'有限会社　AIRS\'', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46796280/'
'株式会社ジャンプ企画', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_14/46715387/'
'株式会社ヒストリックシザーズ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46904715/'
'株式会社　Ｆａｓｔ　Ｂｅａｕｔｙ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46819168/'
'株式会社ＰＲＩＥＲ', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_11/46698449/'
'株式会社　cues', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_10/46003370/'
'株式会社サンケイビルウェルケア', 'https://toranet.jp/care_p/jb_2020/ped_01/la_13/46776781/'
'社会福祉法人　青藍会　はあと保育園成城', 'https://toranet.jp/care_p/jb_1602/ped_01/la_10/46691659/'
'キッズブレア株式会社', 'https://toranet.jp/care_p/jb_1602/ped_01/la_12/46590149/'
'医療法人社団　松永会', 'https://toranet.jp/care_p/jb_2025/ped_01/la_10/46711051/'
'社会福祉法人　新考会', 'https://toranet.jp/care_p/jb_1602/ped_01/la_12/46944348/'
'社会福祉法人 千葉県厚生事業団', 'https://toranet.jp/care_p/jb_2025/ped_01/la_14/46719127/'
'株式会社川商アドバンス', 'https://toranet.jp/care_p/jb_2020/ped_01/la_13/46785977/'
'社会福祉法人森友会(シンユウカイ)', 'https://toranet.jp/care_p/jb_1602/ped_01/la_11/46675382/'
'株式会社プラスオー', 'https://toranet.jp/care_p/jb_2020/ped_01/la_12/45275282/'
'ティ-エヌ浦和店', 'https://toranet.jp/beauty_p/jb_1907/ped_01/la_13/46865184/'
'アブコ株式会社【ピップグループ】', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46693788/'
'株式会社Diana', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46562704/'
'美顔鍼･痩身･整体Ｌａｂｏ　Ａｎｔｅｒｉｏｒ　銀座院', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46702259/'
'オリエンタルビューティー株式会社', 'https://toranet.jp/beauty_p/jb_1907/ped_01/la_10/46697403/'
'コアトラストワークス株式会社', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46586373/'
'株式会社FiNCFit(フィンクフィット)', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46643447/'
'リラクゼーションサロン Bodysh～ボディッシュ～', 'https://toranet.jp/beauty_p/jb_1909/ped_01/la_10/46488144/'
'株式会社C4メディア', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46844266/'
'シンメトリー横浜', 'https://toranet.jp/beauty_p/jb_1909/ped_01/la_12/46785016/'
'株式会社サラ', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46787556/'
'ドクターサポート株式会社', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46919333/'
'Ｄr.Ｂody株式会社', 'https://toranet.jp/beauty_p/jb_1909/ped_01/la_10/46925532/'
'ブラジリアンワックスQueen\'s Wax(株)エンディミオン', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46537074/'
'医療法人社団　翔友会', 'https://toranet.jp/office_p/jb_1002/ped_01/la_10/46905722/'
'株式会社ボディーズ', 'https://toranet.jp/beauty_p/jb_1910/ped_01/la_10/46824277/'
'株式会社トーコン ホールディングス', 'https://toranet.jp/office_p/jb_1016/ped_01/la_10/46819433/'
'株式会社飛竜企画', 'https://toranet.jp/office_p/jb_1003/ped_01/la_10/46881907/'
'株式会社カーブスジャパン', 'https://toranet.jp/office_p/jb_1011/ped_01/la_10/46846812/'
'共同ネットワーク株式会社', 'https://toranet.jp/office_p/jb_1004/ped_01/la_10/46918964/'
'三井不動産ビルマネジメント株式会社', 'https://toranet.jp/office_p/jb_1005/ped_01/la_10/46820749/'
'株式会社シグナル東京', 'https://toranet.jp/office_p/jb_1003/ped_01/la_10/46892345/'
'SOMPOコミュニケーションズ株式会社', 'https://toranet.jp/office_p/jb_1011/ped_01/la_10/46722523/'
'湘南美容外科クリニックコールセンター', 'https://toranet.jp/office_p/jb_1011/ped_01/la_10/46831829/'
'株式会社プライムサーヴ', 'https://toranet.jp/office_p/jb_1005/ped_01/la_10/46842242/'
'株式会社　八広社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46848208/'
'株式会社デルタ', 'https://toranet.jp/office_p/jb_1003/ped_01/la_10/46874475/'
'クラウド･エージェンシー株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46893519/'
'株式会社マルニトータルサービス', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46838374/'
'株式会社日本教育クリエイト', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46845992/'
'株式会社ビックスリーマーケティング', 'https://toranet.jp/office_p/jb_1011/ped_01/la_10/46802986/'
'株式会社ノーザンライツ', 'https://toranet.jp/office_p/jb_1003/ped_01/la_10/46844434/'
'みずほ台ＵＮＯ　東和アミューズメント株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_13/46836162/'
'株式会社スーパーキャット', 'https://toranet.jp/office_p/jb_1004/ped_01/la_10/46902033/'
'株式会社サナレ', 'https://toranet.jp/salon_p/jb_1903/ped_01/la_10/46161835/'
'株式会社　フォートップス', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_13/46693853/'
'株式会社レゾナ ｢ZA/ZA｣', 'https://toranet.jp/salon_p/jb_1903/ped_01/la_10/46939652/'
'株式会社ニュートン', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_10/46436241/'
'カラー専門店　メルモ　本部', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_14/46573278/'
'株式会社ララフェイス', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_11/46814067/'
'株式会社　グレース', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_10/46708199/'
'有限会社泰平　アトリエＪＤ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_11/46780562/'
'株式会社神奈川総合企画', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46162439/'
'株式会社トップス', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_14/46906419/'
'株式会社ゴーディ田中商事', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46369825/'
'株式会社デコルテ', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_19/46778820/'
'株式会社　ネットフィーリング', 'https://toranet.jp/salon_p/jb_1904/ped_01/la_13/46628907/'
'有限会社paso a paso(パソアパソ)', 'https://toranet.jp/salon_p/jb_1905/ped_01/la_10/46688784/'
'Ｃure(キュアー)', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_14/46829464/'
'株式会社ing（アイエヌジィ）美容室var-y（ヴェアリ）', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_12/46679445/'
'有限会社ビービーエススズキ(ＢＢＳ)', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46688615/'
'株式会社アルジャンスー', 'https://toranet.jp/salon_p/jb_1906/ped_01/la_12/46818438/'
'クイックカットBB　ドン･キホーテ二俣川店', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_12/46902452/'
'株式会社オーカ', 'https://toranet.jp/care_p/jb_1602/ped_01/la_12/46818976/'
'医療法人社団慈光会　八木病院', 'https://toranet.jp/care_p/jb_2020/ped_01/la_10/46177841/'
'社会福祉法人清勝会　特別養護老人ホーム ひので', 'https://toranet.jp/care_p/jb_2025/ped_01/la_13/46790776/'
'社会福祉法人　あすなろ会', 'https://toranet.jp/care_p/jb_2020/ped_01/la_13/46731881/'
'株式会社テンダーラビングケアサービス', 'https://toranet.jp/care_p/jb_1602/ped_01/la_12/46818165/'
'社会福祉法人　愛成会', 'https://toranet.jp/care_p/jb_2025/ped_01/la_10/46796524/'
'株式会社ばんびーな保育園　リエッタ', 'https://toranet.jp/care_p/jb_1602/ped_01/la_12/46828109/'
'株式会社アメニティライフ', 'https://toranet.jp/care_p/jb_1602/ped_01/la_12/46123260/'
'高齢者グループホーム　｢輪｣', 'https://toranet.jp/care_p/jb_2022/ped_01/la_12/46810619/'
'ＮＰＯ法人　ウーヴ', 'https://toranet.jp/care_p/jb_1602/ped_01/la_10/46703735/'
'幸いづみ保育園(社会福祉法人三篠会)', 'https://toranet.jp/care_p/jb_1602/ped_01/la_12/46782237/'
'株式会社　パットコーポレーション', 'https://toranet.jp/care_p/jb_1602/ped_01/la_10/46816634/'
'社会福祉法人きしろ社会事業会　鎌倉プライエムきしろ', 'https://toranet.jp/care_p/jb_2025/ped_01/la_12/46800173/'
'黎明保育園', 'https://toranet.jp/care_p/jb_1602/ped_01/la_10/46457519/'
'株式会社日本生科学研究所', 'https://toranet.jp/care_p/jb_1602/ped_01/la_11/46812286/'
'株式会社ＫＲＫ', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46867158/'
'株式会社ＬＯＰＥ', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46787331/'
'美容皮膚科タカミクリニック', 'https://toranet.jp/beauty_p/jb_1911/ped_01/la_10/46538990/'
'THE PERFECTLINE府中店', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_11/46662631/'
'ヒッグスコミック株式会社', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46823956/'
'株式会社 LIFE CREATE (ライフクリエイト)', 'https://toranet.jp/beauty_p/jb_1910/ped_01/la_10/46879024/'
'株式会社オータニコーポレーション', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46803487/'
'銀座イヌディバ', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46778952/'
'株式会社Ｍ.Ｍ.Ｍ', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46803787/'
'新宿美容皮膚科 みずのクリニック', 'https://toranet.jp/beauty_p/jb_1910/ped_01/la_10/46579768/'
'COCOFIT(ココフィット)/株式会社COCOFUL(ココフル)', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_11/46805062/'
'有限会社　ビューティー･コンシェルジュ', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_12/46170109/'
'株式会社じゅえる', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46805089/'
'ガーデンクリニック', 'https://toranet.jp/beauty_p/jb_1911/ped_01/la_10/46818992/'
'リラクゼーションサロン 癒Life', 'https://toranet.jp/beauty_p/jb_1909/ped_01/la_12/46647063/'
'株式会社　公文教育研究会', 'https://toranet.jp/office_p/jb_1001/ped_01/la_12/46793505/'
'株式会社　協栄', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46844163/'
'株式会社ノジマ', 'https://toranet.jp/office_p/jb_1011/ped_01/la_12/46848248/'
'マガシーク株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46821804/'
'株式会社　アイ･コーポレーション', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46830886/'
'株式会社トーコン ホールディングス', 'https://toranet.jp/office_p/jb_1003/ped_01/la_10/46821714/'
'株式会社メガ', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46847202/'
'医療法人社団榎会　榎本クリニック', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46819495/'
'中栄不動産株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46882906/'
'株式会社メディアハウスホールディングス', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46816511/'
'株式会社デンソ', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46797707/'
'八重洲　税理士法人', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46789646/'
'株式会社スタッフサービス', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46909509/'
'パナソニック エクセルスタッフ株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46818470/'
'株式会社トレジャーワン･カンパニー', 'https://toranet.jp/office_p/jb_1003/ped_01/la_12/46825501/'
'株式会社エレクトリ', 'https://toranet.jp/office_p/jb_1003/ped_01/la_10/46838988/'
'株式会社CIN GROUP', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46859806/'
'株式会社ダーウィンプラス', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46853006/'
'JOLIE　MATANTE 美容室', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46674940/'
'hair-make　グランルーヴル　(有)グランルーヴル', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46546968/'
'有限会社対交堂', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46665046/'
'クイックカットＢＢ　イオン大宮店', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_13/46679209/'
'株式会社ラポールヘア･グループ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_12/46787665/'
'株式会社ゴールドストーン', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_14/46927178/'
'ＨＡＩＲ　Ｃ.Ａ.Ｓ(ヘアーキャス)', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_10/46889617/'
'ナショナル物産株式会社', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_10/46784150/'
'有限会社アサンブラージュ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46804327/'
'株式会社リライブ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_14/46830313/'
'有限会社フォトスタジオ　ＫＯＷＡ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46602311/'
'株式会社 ブライアンズカンパニー', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_12/46431697/'
'株式会社ワンズカット', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46634344/'
'株式会社ターゲット', 'https://toranet.jp/salon_p/jb_1902/ped_01/la_10/46668619/'
'ＩＣＨ･ＧＯ狛江店', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_11/46806628/'
'美容室セブンズ　有限会社セブンズ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_13/46785181/'
'有限会社Ten-Nine', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_13/46877765/'
'カットハウスＱＱ', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46825587/'
'有限会社リゼラ', 'https://toranet.jp/beauty_p/jb_1907/ped_01/la_10/46706984/'
'医療法人永寿会　恩方病院', 'https://toranet.jp/care_p/jb_2022/ped_01/la_11/46712448/'
'株式会社ＬａｎＫｕｕｎｏ (ランクーノ)', 'https://toranet.jp/care_p/jb_2025/ped_01/la_13/46551634/'
'ＮＰＯ法人　でんでんむし', 'https://toranet.jp/care_p/jb_1602/ped_01/la_14/46882583/'
'医療法人財団青葉会　青葉病院', 'https://toranet.jp/care_p/jb_2020/ped_01/la_10/46698149/'
'社会福祉法人 興善会', 'https://toranet.jp/care_p/jb_1602/ped_01/la_10/46236844/'
'株式会社ＧＲＯＯＶＹ', 'https://toranet.jp/care_p/jb_1602/ped_01/la_10/46257223/'
'株式会社日本アメニティライフ協会', 'https://toranet.jp/care_p/jb_2020/ped_01/la_12/46711438/'
'株式会社reliable', 'https://toranet.jp/care_p/jb_2022/ped_01/la_13/46642869/'
'株式会社DK', 'https://toranet.jp/care_p/jb_1602/ped_01/la_11/46906198/'
'メディカル･ケア･サービス株式会社', 'https://toranet.jp/care_p/jb_2020/ped_01/la_13/46813113/'
'認可園　エンゼルベア石神井保育園', 'https://toranet.jp/care_p/jb_1602/ped_01/la_10/46677629/'
'社会福祉法人　なぜの木会　子どもの家保育園', 'https://toranet.jp/care_p/jb_1602/ped_01/la_10/46820643/'
'社会福祉法人神奈川県社会福祉事業団', 'https://toranet.jp/care_p/jb_2022/ped_01/la_12/46737528/'
'株式会社 ドクターマノメディカルラボ', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46801790/'
'株式会社アテニア(ファンケルグループ）', 'https://toranet.jp/beauty_p/jb_1910/ped_01/la_10/46812832/'
'Ｂａｌｉ Ｓａｌｏｎ(バリ サロン)', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46542131/'
'株式会社ポーラ', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_11/46528703/'
'有限会社ブラウ･メイクアップ･ア･パーティー', 'https://toranet.jp/beauty_p/jb_1909/ped_01/la_10/46783390/'
'株式会社ing（アイエヌジィ）', 'https://toranet.jp/beauty_p/jb_1909/ped_01/la_12/46679457/'
'株式会社ＳＹＭＡコーポレーション', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_10/46890296/'
'株式会社best effort（ベストエフォート）', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_12/46660440/'
'Pasir Putih(パシル･プティ)/株式会社マルシン', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46652771/'
'ＢＥＡＵＴＥ(ボーテ)', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_12/46790965/'
'有限会社双葉', 'https://toranet.jp/salon_p/jb_1901/ped_01/la_14/46692152/'
'株式会社　壱番館', 'https://toranet.jp/beauty_p/jb_1911/ped_01/la_10/46788893/'
'ル･サントル', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46711901/'
'Ｌalaku　ララク自由が丘店(有)スガエンタープライズ', 'https://toranet.jp/beauty_p/jb_1911/ped_01/la_10/46787769/'
'株式会社　シンホールディングス', 'https://toranet.jp/office_p/jb_1004/ped_01/la_12/46788876/'
'株式会社スマレジ', 'https://toranet.jp/office_p/jb_1011/ped_01/la_10/46810652/'
'有限会社 西尾材木店', 'https://toranet.jp/office_p/jb_1003/ped_01/la_10/46810459/'
'株式会社　八広社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46947654/'
'レイリス･アンド･カンパニー株式会社', 'https://toranet.jp/office_p/jb_1003/ped_01/la_10/46932279/'
'エビス商事株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46901119/'
'有限会社北野デザイン', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46918039/'
'ユメ（ノ）ソラホールディングス株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46824008/'
'税理士法人ウィズ', 'https://toranet.jp/office_p/jb_1004/ped_01/la_10/46681596/'
